from,to
T1,T2
T1,T3
T2,T3
T3,T4
T2,T5
T3,T5
T1,T7
T6,T7
T4,T7
T6,T8
T1,T9
T8,T9
T1,T10
T5,T10
T6,T11
T7,T11
T4,T12
T7,T13
T10,T13
T3,T13
T11,T13
T2,T14
T14,T15
T7,T15
T10,T15
T11,T15
T8,T16
T5,T17
T4,T17
T8,T17
T11,T17
T15,T18
T9,T18
T1,T19
T15,T19
T10,T19
T11,T19
T9,T19
T3,T20
T12,T21
T19,T21
T10,T21
T14,T22
T9,T22
T15,T22
T10,T22
T7,T22
T16,T23
T4,T23
T8,T23
T19,T24
T12,T24
T10,T24
T10,T25
T1,T25
T22,T25
T13,T25
T9,T25
T22,T27
T25,T27
T24,T27
T2,T27
T24,T28
T16,T28
T27,T28
T10,T28
T20,T29
T8,T30
T21,T30
T20,T31
T22,T32
T25,T32
T9,T33
T7,T33
T3,T33
T20,T33
T29,T33
T24,T35
T9,T35
T6,T35
T19,T35
T27,T36
T12,T36
T9,T37
T24,T38
T34,T38
T33,T38
T18,T38
T17,T39
T19,T40
T22,T40
T8,T40
T5,T41
T10,T41
T15,T41
T26,T42
T36,T42
T24,T42
T6,T42
T1,T42
T35,T43
T8,T43
T24,T44
T17,T44
T38,T44
T41,T45
T24,T45
T7,T45
T15,T46
T31,T46
T2,T46
T40,T46
T36,T46
T40,T47
T15,T47
T5,T48
T41,T48
T30,T48
T45,T48
T20,T48
T27,T49
T8,T49
T9,T49
T3,T49
T20,T49
T8,T50
T7,T50
T16,T50
T9,T51
T25,T51
T30,T51
T24,T51
T48,T52
T45,T52
T35,T52
T27,T52
T38,T52
T47,T53
T10,T53
T27,T53
T42,T53
T7,T53
T40,T54
T27,T54
T18,T54
T24,T56
T14,T56
T29,T56
T16,T56
T55,T56
T7,T57
T44,T57
T35,T58
T42,T58
T4,T59
T26,T59
T13,T60
T8,T60
T6,T61
T43,T61
T14,T61
T41,T62
T39,T62
T2,T62
T4,T62
T51,T62
T16,T63
T9,T63
T14,T64
T5,T64
T54,T64
T49,T64
T27,T65
T28,T65
T30,T65
T43,T65
T1,T66
T19,T67
T17,T67
T33,T68
T23,T68
T15,T68
T4,T68
T2,T69
T31,T70
T42,T70
T34,T72
T54,T74
T15,T75
T9,T75
T61,T75
T58,T75
T66,T76
T14,T76
T65,T77
T29,T77
T6,T77
T67,T78
T39,T78
T59,T78
T4,T78
T8,T78
T52,T79
T55,T79
T14,T79
T57,T80
T10,T80
T11,T80
T78,T81
T19,T81
T36,T83
T82,T84
T75,T84
T71,T84
T42,T84
T77,T85
T68,T85
T38,T85
T65,T86
T78,T86
T56,T86
T15,T88
T84,T88
T71,T88
T28,T88
T56,T88
T30,T89
T53,T89
T44,T89
T52,T90
T54,T90
T13,T90
T55,T91
T41,T91
T33,T92
T48,T92
T20,T92
T88,T92
T61,T92
T13,T97
T96,T97
T95,T97
T17,T98
T72,T98
T72,T100
T43,T100
T86,T100
T16,T100
T46,T101
T86,T101
T97,T101
T93,T102
T7,T102
T37,T102
T40,T103
T46,T103
T14,T103
T74,T103
T28,T104
T20,T104
T85,T104
T62,T104
T14,T105
T72,T106
T48,T106
T74,T108
T29,T108
T72,T109
T99,T109
T105,T109
T79,T110
T87,T110
T83,T110
T72,T110
T85,T112
T107,T112
T89,T112
T35,T112
T35,T114
T98,T115
T40,T115
T44,T115
T45,T115
T1,T115
T112,T116
T73,T117
T52,T118
T9,T118
T19,T118
T95,T118
T82,T118
T68,T121
T28,T121
T49,T121
T54,T121
T59,T121
T21,T122
T48,T122
T93,T123
T42,T123
T77,T124
T11,T124
T114,T124
T7,T124
T21,T125
T7,T126
T87,T126
T11,T126
T35,T126
T85,T127
T55,T127
T63,T127
T57,T128
T54,T128
T35,T128
T28,T128
T30,T129
T89,T129
T111,T129
T29,T129
T125,T130
T79,T130
T102,T132
T15,T133
T2,T133
T53,T133
T78,T133
T36,T134
T75,T135
T84,T135
T111,T138
T45,T138
T34,T138
T137,T139
T59,T139
T129,T139
T91,T140
T19,T140
T102,T140
T11,T140
T5,T141
T118,T141
T20,T141
T110,T142
T104,T142
T107,T143
T75,T143
T30,T143
T104,T143
T6,T143
T44,T144
T118,T144
T93,T145
T23,T145
T112,T145
T28,T145
T63,T145
T103,T146
T135,T146
T21,T146
T80,T147
T87,T147
T57,T147
T44,T148
T20,T148
T30,T149
T136,T149
T131,T149
T50,T149
T90,T150
T38,T150
T27,T151
T66,T152
T45,T153
T40,T154
T20,T154
T46,T154
T127,T154
T145,T155
T149,T155
T115,T155
T145,T156
T83,T156
T81,T156
T39,T156
T113,T156
T114,T158
T78,T158
T71,T158
T15,T159
T91,T159
T130,T159
T19,T159
T119,T160
T116,T160
T74,T163
T20,T163
T24,T164
T158,T164
T153,T164
T130,T164
T99,T164
T149,T165
T142,T165
T11,T165
T147,T166
T49,T166
T83,T166
T122,T167
T129,T167
T39,T167
T16,T167
T27,T168
T88,T168
T22,T168
T166,T169
T45,T169
T11,T169
T64,T169
T113,T170
T135,T170
T134,T170
T157,T170
T41,T170
T96,T171
T73,T171
T105,T172
T87,T172
T154,T172
T166,T174
T86,T174
T17,T174
T85,T174
T25,T174
T174,T175
T99,T175
T73,T175
T65,T175
T169,T176
T155,T176
T39,T176
T86,T176
T21,T176
T170,T177
T37,T177
T90,T177
T80,T177
T170,T178
T101,T178
T34,T178
T153,T178
T22,T178
T144,T179
T97,T179
T85,T180
T33,T180
T172,T180
T176,T180
T135,T180
T172,T182
T109,T182
T131,T182
T93,T182
T5,T182
T80,T183
T47,T183
T88,T184
T50,T185
T58,T185
T36,T185
T20,T186
T26,T187
T130,T187
T135,T188
T10,T188
T170,T188
T87,T188
T34,T189
T153,T189
T97,T189
T40,T189
T47,T190
T160,T191
T43,T191
T185,T191
T113,T191
T12,T191
T94,T192
T174,T192
T185,T192
T114,T193
T73,T194
T193,T194
T192,T194
T115,T194
T137,T195
T80,T196
T50,T197
T95,T197
T174,T197
T113,T198
T119,T198
T197,T198
T73,T198
T129,T199
T136,T199
T108,T199
T52,T200
T36,T201
T65,T201
T14,T201
T165,T201
T96,T202
T142,T202
T27,T202
T133,T203
T32,T203
T73,T203
T22,T203
T196,T203
T70,T204
T132,T205
T38,T205
T112,T205
T116,T207
T7,T208
T107,T208
T129,T210
T96,T210
T61,T210
T21,T211
T96,T211
T58,T211
T26,T213
T183,T213
T86,T214
T203,T214
T38,T214
T36,T214
T10,T214
T213,T215
T121,T215
T213,T216
T36,T216
T195,T216
T181,T216
T121,T216
T158,T217
T2,T217
T21,T217
T56,T219
T214,T219
T141,T220
T156,T221
T136,T221
T109,T221
T29,T221
T199,T221
T61,T222
T78,T222
T108,T225
T204,T226
T160,T226
T118,T226
T17,T226
T29,T226
T153,T227
T138,T227
T5,T227
T132,T228
T148,T228
T62,T228
T184,T228
T37,T228
T110,T229
T1,T229
T91,T230
T62,T230
T147,T230
T107,T230
T171,T231
T22,T232
T135,T232
T93,T232
T18,T232
T140,T232
T202,T233
T130,T233
T142,T233
T6,T233
T224,T234
T121,T234
T12,T234
T100,T235
T96,T235
T65,T235
T192,T235
T5,T235
T202,T236
T18,T236
T62,T237
T188,T237
T161,T238
T27,T238
T198,T238
T149,T238
T189,T238
T35,T239
T12,T239
T140,T240
T87,T240
T45,T241
T213,T241
T200,T241
T176,T241
T119,T241
T123,T242
T162,T242
T47,T242
T208,T242
T35,T242
T199,T244
T242,T244
T118,T244
T10,T244
T76,T244
T12,T245
T227,T246
T239,T248
T80,T248
T102,T249
T209,T249
T140,T249
T122,T249
T10,T250
T193,T250
T49,T251
T74,T251
T92,T251
T221,T251
T200,T251
T85,T253
T70,T253
T32,T253
T205,T253
T95,T253
T228,T254
T103,T254
T191,T254
T230,T255
T245,T255
T99,T255
T250,T256
T48,T256
T255,T257
T189,T257
T137,T257
T218,T259
T41,T259
T221,T259
T93,T259
T151,T259
T53,T260
T41,T260
T152,T261
T157,T261
T219,T262
T86,T262
T228,T262
T229,T263
T22,T263
T181,T264
T223,T264
T141,T264
T30,T264
T39,T264
T208,T265
T187,T265
T263,T265
T82,T265
T16,T265
T225,T266
T35,T268
T188,T269
T197,T270
T17,T270
T79,T271
T231,T271
