task_id,base_runtime
T1,78
T2,56
T3,120
T4,112
T5,107
T6,85
T7,76
T8,189
T9,72
T10,158
T11,58
T12,57
T13,73
T14,105
T15,109
T16,179
T17,56
T18,193
T19,100
T20,189
T21,157
T22,106
T23,164
T24,200
T25,121
T26,51
T27,90
T28,158
T29,137
T30,121
T31,89
T32,105
T33,136
T34,76
T35,73
T36,147
T37,74
T38,141
T39,138
T40,117
T41,61
T42,167
T43,187
T44,81
T45,146
T46,70
T47,191
T48,125
T49,142
T50,197
T51,99
T52,67
T53,61
T54,108
T55,124
T56,70
T57,109
T58,75
T59,147
T60,121
T61,166
T62,143
T63,91
T64,144
T65,140
T66,103
T67,118
T68,68
T69,93
T70,186
T71,112
T72,91
T73,168
T74,147
T75,119
T76,192
T77,106
T78,133
T79,64
T80,108
T81,58
T82,130
T83,152
T84,118
T85,66
T86,104
T87,195
T88,130
T89,104
T90,177
T91,151
T92,167
T93,86
T94,117
T95,85
T96,113
T97,193
T98,187
T99,117
T100,199
