from,to
T2,T3
T2,T5
T1,T5
T3,T6
T4,T8
T6,T9
T1,T9
T2,T9
T4,T10
T8,T10
T6,T10
T3,T10
T1,T10
T8,T11
T9,T11
T10,T11
T3,T12
T6,T12
T7,T12
T9,T12
T2,T12
T3,T16
T1,T17
T13,T17
T8,T18
T2,T18
T11,T18
T14,T18
T6,T18
T1,T19
T14,T19
T16,T19
T10,T20
T16,T20
T8,T22
T20,T22
T5,T22
T17,T23
T6,T23
T8,T23
T9,T23
T4,T23
T23,T24
T8,T24
T14,T25
T7,T25
T16,T25
T23,T25
T4,T25
T24,T26
T17,T26
T20,T26
T6,T26
T7,T26
T21,T27
T5,T27
T8,T27
T4,T27
T13,T28
T7,T30
T5,T30
T1,T31
T20,T31
T7,T31
T27,T34
T20,T34
T15,T34
T22,T35
T31,T36
T4,T36
T33,T36
T4,T37
T20,T37
T8,T37
T24,T38
T18,T38
T27,T39
T16,T39
T4,T40
T12,T40
T21,T44
T14,T44
T19,T44
T31,T44
T18,T44
T7,T45
T28,T45
T12,T45
T17,T45
T24,T46
T22,T46
T20,T46
T1,T49
T44,T49
T36,T49
T9,T49
T22,T49
T48,T50
T24,T50
T50,T51
T38,T51
T34,T51
T39,T51
T24,T51
T42,T52
T14,T53
T38,T53
T6,T54
T7,T54
T9,T54
T48,T55
T39,T55
T8,T55
T3,T55
T38,T55
T53,T56
T13,T56
T46,T56
T29,T56
T7,T56
T40,T58
T22,T58
T20,T58
T47,T58
T49,T59
T13,T59
T35,T59
T10,T60
T3,T60
T9,T60
T13,T60
T27,T60
T46,T61
T17,T61
T58,T61
T57,T61
T23,T62
T58,T62
T24,T62
T29,T62
T46,T63
T8,T63
T59,T63
T28,T63
T5,T63
T27,T64
T34,T64
T60,T64
T3,T65
T22,T65
T36,T65
T17,T65
T6,T66
T8,T66
T25,T67
T51,T67
T64,T67
T66,T67
T10,T67
T57,T68
T50,T69
T52,T69
T35,T69
T27,T69
T1,T70
T28,T71
T2,T72
T66,T72
T59,T72
T65,T72
T68,T73
T34,T73
T39,T73
T29,T73
T38,T73
T35,T74
T71,T74
T16,T74
T22,T74
T29,T74
T31,T76
T38,T76
T6,T76
T19,T76
T18,T77
T35,T77
T32,T79
T27,T79
T69,T79
T15,T79
T1,T79
T45,T80
T78,T80
T48,T80
T42,T80
T11,T80
T71,T81
T34,T81
T18,T81
T53,T81
